姓	名	小时工资	工作小时	工作职场	头衔	入职时间
齐	旭	8.28	24	深圳南山	DBA	2001/07/08
严	丹丹	4.71	32	深圳南山	云平台管理	2021/01/05
汤	倩	36.46	40	浦东张江	云平台管理	2013/01/09
戴	丹丹	23.87	48	海淀五道口	UI设计	2018/08/13
鲁	思聪	19.11	22	浦东张江	DBA	2004/12/19
马	娟	38.28	41	南京雨花台	产品经理	2016/04/17
周	刚	54.25	23	浦东陆家嘴	云平台管理	2013/11/15
黄	明	15.27	21	浦东张江	产品经理	2004/11/23
刘	丹丹	1.2	40	南京雨花台	产品经理	2019/07/07
竺	雷	58.3	31	南京雨花台	系统管理	2018/01/21
姜	一涵	8.47	22	海淀五道口	云平台管理	2003/01/11
林	琦	59.45	24	浦东陆家嘴	存储管理	2006/08/20
牛	旭	43.2	21	海淀五道口	后台开发	2021/09/11
郭	聪	3.31	24	海淀五道口	云平台管理	2016/07/16
齐	娟	5.44	41	深圳南山	云平台管理	2014/01/20
蒋	琦	18.95	23	南京雨花台	前端开发	2019/02/12
肖	磊	55.65	48	浦东陆家嘴	云平台管理	2005/02/08
叶	海波	9.81	28	浦东陆家嘴	系统管理	2002/06/13
齐	琦	33.9	34	深圳南山	存储管理	2021/07/06
吴	丽亚	18.4	28	浦东陆家嘴	存储管理	1999/01/14
鲁	捷	3.18	25	深圳南山	系统管理	2000/12/24
赵	鑫	53.87	46	南京雨花台	后台开发	2012/12/21
袁	腾	15.44	23	深圳南山	后台开发	2022/06/10
张	丽亚	30.14	21	深圳南山	后台开发	2012/02/22
蒋	飞	12.63	29	浦东陆家嘴	产品经理	2013/09/18
曾	东	41.29	45	浦东陆家嘴	前端开发	2000/11/02
郭	丽	1.12	29	海淀五道口	后台开发	2020/02/24
郑	琴	59.72	23	深圳南山	系统管理	2013/01/25
曹	华世	41.69	45	南京雨花台	前端开发	2001/12/03
周	建	52.59	50	浦东张江	UI设计	2016/03/24
岳	心愿	60.26	45	海淀五道口	后台开发	2000/08/06
唐	炜	35.82	46	海淀五道口	系统管理	2010/01/09
李	爱国	48.8	26	浦东张江	DBA	1999/03/10
岳	华世	13.4	41	南京雨花台	前端开发	2010/05/22
林	旭	1.2	31	海淀五道口	前端开发	2007/09/05
孙	健	13.3	46	海淀五道口	系统管理	2008/11/22
孙	磊	37.57	34	南京雨花台	产品经理	2021/02/02
华	思华	27.75	34	南京雨花台	产品经理	2021/01/09
白	心愿	31.72	32	浦东陆家嘴	DBA	2004/12/08
祝	晨	16.99	31	浦东张江	UI设计	1999/08/27
边	子轩	41.8	47	浦东陆家嘴	系统管理	2003/11/25
卢	东	26.83	25	深圳南山	系统管理	2014/01/05
刘	明	43.8	28	浦东陆家嘴	系统管理	2002/10/08
舒	茵	29.62	24	深圳南山	存储管理	2018/05/21
何	建刚	33.6	29	深圳南山	后台开发	2010/04/06
祝	正	0.98	34	浦东陆家嘴	DBA	2003/02/05
刘	楠	16.1	25	海淀五道口	UI设计	2001/12/18
汤	明	6.7	33	海淀五道口	云平台管理	2003/01/22
徐	昕	43.8	36	海淀五道口	系统管理	2020/04/02
华	健	56.28	35	南京雨花台	产品经理	2006/05/26
白	宁	15.68	39	浦东张江	后台开发	1999/07/16
顾	磊	41.39	47	浦东陆家嘴	云平台管理	2019/05/28
卢	阳	12.14	20	浦东张江	系统管理	2019/07/08
徐	健	6.84	25	深圳南山	后台开发	2005/09/25
彭	欢	50.44	22	浦东张江	DBA	2000/09/02
孙	海峰	10.1	46	浦东张江	系统管理	1998/02/25
周	晨	35.75	28	深圳南山	UI设计	2016/06/03
边	建刚	25.64	22	海淀五道口	DBA	2016/01/13
薛	为民	44.12	38	南京雨花台	前端开发	2013/06/26
肖	文杰	17.96	33	浦东张江	存储管理	2010/09/25
钱	鑫	10.99	39	浦东陆家嘴	云平台管理	2002/03/23
马	朝晖	2.88	27	浦东张江	DBA	2006/09/09
林	伟敏	29.24	41	深圳南山	前端开发	2001/02/28
吴	波	4.84	42	浦东陆家嘴	产品经理	2001/09/25
冯	为民	37.51	29	浦东张江	系统管理	2009/07/14
齐	明	21.48	40	浦东陆家嘴	存储管理	2001/09/17
王	阳	27.6	32	南京雨花台	系统管理	2019/01/26
徐	楠	1.53	24	海淀五道口	DBA	1998/10/01
孔	丹丹	30.4	26	深圳南山	UI设计	2000/02/11
王	华健	46.87	32	浦东陆家嘴	云平台管理	2005/05/25
吴	海波	53.25	37	深圳南山	存储管理	1998/05/12
江	昕	44.93	44	海淀五道口	后台开发	2022/06/24
谢	建	38.9	44	南京雨花台	云平台管理	2018/11/19
叶	薇亚	56.89	43	海淀五道口	存储管理	2014/08/27
陈	茉莉	33.67	22	浦东张江	UI设计	2005/02/23
鲁	思华	12.24	27	深圳南山	后台开发	2018/10/05
肖	强	5.21	36	浦东张江	前端开发	2018/06/13
谢	新海	47.29	21	浦东陆家嘴	DBA	2003/09/26
郭	波	13.34	24	浦东张江	DBA	1998/02/27
边	阳	27.6	40	海淀五道口	前端开发	2000/04/02
曹	海波	41.38	27	浦东张江	存储管理	2002/09/20
夏	鑫	8.87	24	浦东陆家嘴	系统管理	2003/06/20
江	欣	46.49	50	南京雨花台	产品经理	2022/08/18
华	彪	54.55	43	深圳南山	存储管理	2022/07/16
刘	丽	12.8	21	南京雨花台	DBA	2019/06/19
戴	雷	24.37	41	南京雨花台	DBA	1998/10/17
魏	美雅	48.25	32	南京雨花台	产品经理	2009/08/16
杜	松涛	14.2	25	浦东陆家嘴	存储管理	2008/10/05
白	美雅	24.89	31	浦东张江	前端开发	2018/10/03
李	吉祥	48.2	21	浦东张江	DBA	2017/03/16
杨	茉莉	54.15	37	海淀五道口	系统管理	2006/12/08
吴	伟敏	15.72	33	海淀五道口	UI设计	2013/06/16
华	炜	30.9	38	海淀五道口	UI设计	2002/08/10
杨	军	7.73	21	浦东张江	前端开发	2013/03/06
高	娟	60.44	29	海淀五道口	前端开发	2003/04/04
马	美雅	45.44	30	深圳南山	前端开发	2002/02/16
齐	海波	37.53	35	浦东张江	存储管理	1999/02/25
柳	勇	33.14	21	浦东张江	云平台管理	2018/07/01
郑	旭东	21.5	22	浦东张江	DBA	2014/01/04
孔	琦	48.78	20	浦东陆家嘴	云平台管理	2009/07/04
汤	华健	30.13	31	深圳南山	UI设计	2022/12/16
竺	欣	34.57	25	深圳南山	系统管理	2000/05/07
白	朝晖	53.25	50	深圳南山	前端开发	2010/12/15
戴	娟	5.96	46	海淀五道口	产品经理	2012/06/13
徐	伟敏	7.92	28	南京雨花台	后台开发	2013/04/01
卢	琦	33.29	22	南京雨花台	UI设计	2014/03/10
张	强	55.35	36	海淀五道口	前端开发	2008/08/02
许	心愿	47.52	41	海淀五道口	UI设计	1999/08/24
江	捷	31.3	33	浦东陆家嘴	云平台管理	2021/12/23
陆	新海	40.15	38	浦东陆家嘴	系统管理	2018/01/04
何	朝晖	25.32	46	深圳南山	前端开发	2020/01/19
戴	倩	49.82	46	浦东陆家嘴	云平台管理	2004/01/24
舒	国贤	7.37	29	浦东陆家嘴	DBA	2020/09/21
徐	旭东	18.9	47	海淀五道口	系统管理	2016/02/20
谢	娟	30.51	44	海淀五道口	DBA	2020/12/22
陆	晨	14.38	30	浦东陆家嘴	产品经理	2011/12/19
周	新海	60.14	41	浦东陆家嘴	存储管理	1999/06/28
姜	健	55.6	30	海淀五道口	产品经理	2000/03/08
孙	茹云	38.28	32	深圳南山	云平台管理	2002/09/09
肖	丽	21.5	45	海淀五道口	产品经理	2010/08/16
陈	相龙	30.81	23	深圳南山	存储管理	2007/11/25
孙	丽亚	35.27	48	南京雨花台	云平台管理	2012/12/24
卢	海峰	54.51	42	浦东陆家嘴	系统管理	1998/03/16
边	彪	0.52	50	南京雨花台	DBA	2020/02/06
顾	健林	9.59	32	南京雨花台	后台开发	2001/06/24
徐	宁	5.47	49	浦东陆家嘴	产品经理	1999/09/09
白	琴	51.54	46	深圳南山	前端开发	2005/06/22
姜	正	54.37	27	海淀五道口	后台开发	2015/09/08
孔	伟敏	42.79	20	浦东张江	产品经理	2006/06/23
涂	华健	23.2	33	浦东陆家嘴	产品经理	2018/09/04
朱	腾	17.58	39	浦东张江	前端开发	1998/10/15
汤	吉祥	59.35	33	浦东张江	后台开发	2020/06/17
李	刚	40.66	23	海淀五道口	UI设计	2002/12/26
刘	彪	26.77	25	深圳南山	云平台管理	2013/08/03
郑	健林	38.75	39	海淀五道口	前端开发	2021/09/10
吴	琦	31.12	20	南京雨花台	后台开发	2019/05/02
竺	海波	27.9	21	南京雨花台	前端开发	2004/04/28
李	晨	56.1	34	浦东陆家嘴	DBA	2000/04/18
郑	宇进	30.72	47	海淀五道口	产品经理	2010/10/08
牛	阳	19.25	50	深圳南山	产品经理	2000/12/08
杜	丽亚	44.22	40	海淀五道口	前端开发	1999/08/17
江	宇进	57.37	34	南京雨花台	DBA	2006/08/08
祝	宇进	20.71	30	深圳南山	前端开发	2013/10/24
刘	宇进	53.21	30	浦东陆家嘴	后台开发	2019/08/16
邹	海峰	39.99	36	深圳南山	UI设计	2020/02/20
杜	国贤	17.34	23	南京雨花台	云平台管理	2000/05/21
赵	晨	43.39	32	浦东陆家嘴	后台开发	2020/04/25
姜	磊	48.11	27	浦东张江	UI设计	2019/08/01
马	琴	26.9	48	深圳南山	DBA	2006/02/02
朱	丹丹	14.78	45	南京雨花台	后台开发	1998/10/06
张	磊	0.92	25	深圳南山	前端开发	2018/09/23
李	一涵	8.71	26	海淀五道口	UI设计	2018/02/28
戴	勇	30.59	45	南京雨花台	DBA	2019/04/18
牛	茵	20.74	23	南京雨花台	系统管理	2004/01/01
张	子轩	19.85	21	浦东张江	存储管理	2010/06/08
牛	倩	52.3	43	海淀五道口	系统管理	2002/04/21
卢	丹丹	56.93	22	南京雨花台	产品经理	2018/07/09
魏	旭	36.43	40	深圳南山	前端开发	2022/08/16
牛	华健	10.75	49	海淀五道口	存储管理	2016/10/02
赵	健林	33.2	48	浦东陆家嘴	DBA	2011/02/01
齐	丽亚	30.85	32	深圳南山	后台开发	2018/11/25
周	东	38.88	48	浦东张江	后台开发	2013/06/15
朱	朝晖	52.7	36	深圳南山	后台开发	2001/02/25
江	子轩	50.7	45	海淀五道口	云平台管理	2002/10/28
林	正	34.26	50	浦东张江	DBA	2012/06/03
顾	健	60.53	20	浦东陆家嘴	系统管理	2001/10/28
蒋	旭东	56.19	47	海淀五道口	UI设计	1998/09/11
鲁	薇亚	56.4	42	浦东张江	前端开发	2015/04/07
蒋	炜	10.19	47	浦东陆家嘴	存储管理	2018/04/21
廖	建	59.59	35	海淀五道口	后台开发	1998/02/15
叶	建刚	37.57	42	浦东张江	产品经理	2022/11/14
高	华健	50.52	31	海淀五道口	产品经理	2013/07/28
戴	国贤	6.39	23	深圳南山	前端开发	2006/11/12
赵	一涵	60.19	45	浦东陆家嘴	系统管理	2002/12/17
鲁	茹云	49.16	26	南京雨花台	UI设计	1998/07/06
吴	建	37.16	35	浦东张江	前端开发	2019/03/20
柳	美雅	21.36	43	海淀五道口	系统管理	2000/04/18
吴	宇进	20.47	31	深圳南山	云平台管理	1999/04/09
白	健	3.35	30	深圳南山	存储管理	1998/03/22
肖	思华	47.76	47	浦东陆家嘴	DBA	2004/01/28
孙	国贤	39.8	43	深圳南山	存储管理	2005/01/16
袁	琴	50.76	39	深圳南山	系统管理	2004/10/04
齐	晨	14.64	29	浦东张江	系统管理	2003/02/02
戴	昕	19.46	30	南京雨花台	存储管理	1999/02/04
陈	健林	35.36	37	海淀五道口	DBA	2019/03/19
邹	正	18.28	38	浦东张江	前端开发	2014/06/14
袁	旭东	60.41	39	深圳南山	云平台管理	2016/11/16
陈	健	56.48	35	浦东张江	存储管理	1999/02/27
赵	建刚	36.85	49	海淀五道口	前端开发	2010/04/08
郑	波	19.13	22	南京雨花台	UI设计	2013/05/25
彭	文杰	52.5	41	浦东陆家嘴	后台开发	1998/12/12
孔	子轩	37.28	50	浦东陆家嘴	系统管理	2013/03/14
边	文杰	14.61	47	深圳南山	产品经理	2012/02/05
牛	茹云	7.54	33	浦东张江	DBA	2008/08/26
李	子轩	26.81	49	南京雨花台	前端开发	2002/09/10
涂	子轩	52.45	29	浦东张江	产品经理	2017/12/25
白	波	22.94	33	南京雨花台	后台开发	2022/01/18
徐	雷	23.82	39	浦东张江	后台开发	2002/04/24
陈	刚	2.24	26	海淀五道口	云平台管理	2019/02/09
石	腾	1.1	27	浦东张江	前端开发	1999/01/11
石	捷	25.31	44	浦东张江	DBA	1999/09/03
杨	爱国	29.68	33	浦东陆家嘴	前端开发	1999/12/22
王	伟敏	43.8	36	海淀五道口	存储管理	2015/06/14
石	欢	58.86	40	南京雨花台	云平台管理	2004/07/09
竺	为民	13.9	28	南京雨花台	系统管理	2004/02/11
曹	昕	17.75	49	海淀五道口	系统管理	2021/05/14
袁	昕	19.5	46	浦东陆家嘴	DBA	2006/03/15
刘	伟敏	23.5	47	海淀五道口	存储管理	2015/07/11
孔	倩	29.25	29	南京雨花台	前端开发	2011/04/03
徐	腾	15.75	23	浦东陆家嘴	UI设计	2003/11/28
岳	文杰	5.28	27	浦东张江	前端开发	1999/04/07
薛	茵	19.74	40	浦东陆家嘴	存储管理	2005/11/12
蒋	琴	48.33	39	浦东陆家嘴	前端开发	2022/06/23
郭	伟敏	21.91	36	海淀五道口	系统管理	2001/05/26
袁	华世	6.41	29	南京雨花台	UI设计	2012/04/24
邹	楠	32.55	36	海淀五道口	产品经理	2008/08/18
牛	捷	12.89	27	深圳南山	系统管理	2008/11/28
郭	倩	8.19	20	浦东陆家嘴	云平台管理	2012/04/21
蒋	建	45.7	31	浦东张江	产品经理	2003/02/06
郭	茵	43.71	37	浦东陆家嘴	UI设计	2012/01/06
竺	华世	37.75	44	浦东张江	DBA	2019/05/21
戴	海波	32.41	36	浦东陆家嘴	存储管理	2014/01/08
张	旭东	5.76	24	南京雨花台	产品经理	2013/01/08
柳	东	56.43	41	南京雨花台	系统管理	2013/06/13
郭	勇	0.6	45	浦东张江	云平台管理	2001/01/07
卢	宇进	44.96	50	海淀五道口	产品经理	2008/07/13
岳	雷	45.39	50	浦东张江	存储管理	2012/02/28
祝	松涛	16.0	47	浦东张江	产品经理	1998/02/12
彭	薇亚	22.91	29	深圳南山	前端开发	2001/04/15
郭	茹云	38.28	29	浦东张江	DBA	2005/11/08
孔	旭东	14.5	43	海淀五道口	系统管理	2009/11/18
何	新力	8.9	33	南京雨花台	UI设计	2012/08/13
夏	彪	31.85	42	海淀五道口	系统管理	2017/12/09
朱	波	11.57	49	深圳南山	产品经理	2006/07/13
朱	海峰	1.74	23	浦东陆家嘴	前端开发	2018/03/12
黄	腾	26.57	30	浦东张江	产品经理	2010/11/25
孙	华世	57.48	30	深圳南山	前端开发	2016/07/18
赵	丹丹	46.75	21	浦东张江	存储管理	2022/11/01
严	为民	8.0	33	浦东陆家嘴	存储管理	2002/07/03
鲁	丽	26.81	44	浦东陆家嘴	后台开发	2011/12/17
舒	相龙	59.4	37	海淀五道口	后台开发	2013/01/10
袁	茵	54.12	42	浦东陆家嘴	云平台管理	2007/09/22
朱	明	55.7	36	浦东陆家嘴	产品经理	1999/01/09
邹	昕	59.92	29	浦东陆家嘴	DBA	2015/06/22
吴	健	51.37	34	浦东陆家嘴	产品经理	2008/10/03
卢	新海	22.76	37	浦东陆家嘴	云平台管理	2013/07/05
顾	腾	14.12	22	浦东张江	产品经理	2007/12/01
齐	阳	1.93	37	浦东陆家嘴	DBA	2008/10/13
卢	爱国	21.6	28	深圳南山	DBA	2004/09/23
马	旭	3.31	45	南京雨花台	云平台管理	2020/07/20
柳	楠	51.8	50	深圳南山	产品经理	2007/11/04
许	军	34.82	28	浦东陆家嘴	DBA	2001/08/18
周	宇进	25.62	30	深圳南山	UI设计	2018/11/24
薛	鑫	9.83	31	南京雨花台	产品经理	2006/02/26
叶	丽亚	39.58	23	浦东张江	UI设计	2006/03/04
许	阳	31.77	28	浦东陆家嘴	存储管理	2004/06/13
孙	建	25.89	21	海淀五道口	存储管理	2009/07/22
彭	炜	10.54	38	浦东陆家嘴	后台开发	2016/12/16
许	刚	5.55	32	南京雨花台	产品经理	2021/12/25
周	阳	55.22	38	浦东陆家嘴	系统管理	2004/05/26
竺	朝晖	5.99	49	深圳南山	前端开发	2016/08/19
赵	文杰	13.71	31	浦东陆家嘴	后台开发	2002/02/10
魏	欢	47.51	22	浦东陆家嘴	UI设计	2007/09/22
杨	伟敏	13.82	42	浦东陆家嘴	存储管理	2008/09/15
戴	飞	22.85	23	南京雨花台	DBA	2014/04/09
孔	华健	59.21	47	南京雨花台	存储管理	2018/08/02
卢	正	21.52	31	浦东陆家嘴	DBA	2017/02/04
徐	强	24.44	36	深圳南山	后台开发	2009/03/18
彭	思华	54.0	21	深圳南山	前端开发	2022/04/10
岳	海峰	21.91	32	深圳南山	存储管理	2013/12/09
薛	丹丹	26.95	35	南京雨花台	DBA	2021/08/07
彭	旭	53.9	44	浦东陆家嘴	云平台管理	2017/08/24
杨	磊	42.53	35	海淀五道口	DBA	2020/03/04
华	明	46.44	20	深圳南山	后台开发	2011/09/10
钱	海峰	53.26	36	深圳南山	系统管理	2005/09/06
戴	楠	22.59	44	南京雨花台	前端开发	2011/09/23
杜	东	5.66	50	海淀五道口	UI设计	2013/08/15
齐	华世	31.7	30	浦东张江	产品经理	2020/04/08
杜	倩	5.3	49	深圳南山	UI设计	2018/06/21
黄	炜	14.32	48	南京雨花台	存储管理	2006/02/01
Brin	Sergey	1299	40	深圳南山	COO	1998/04/16
陈	强	12.27	26	南京雨花台	云平台管理	2011/01/09
夏	丽亚	60.26	47	浦东张江	UI设计	2021/07/05
钱	旭东	58.21	27	浦东张江	产品经理	2005/08/16
牛	思华	46.2	25	南京雨花台	系统管理	2016/11/03
廖	健	0.26	32	深圳南山	产品经理	2017/03/13
马	军	12.52	24	海淀五道口	前端开发	2003/03/04
鲁	华世	42.36	20	浦东陆家嘴	UI设计	2013/05/07
刘	美雅	52.55	32	南京雨花台	DBA	2000/01/10
杜	茵	5.44	24	海淀五道口	存储管理	2011/07/28
谢	晨	59.26	40	浦东张江	系统管理	2007/07/16
赵	腾	20.85	46	浦东陆家嘴	UI设计	2012/05/01
姜	思华	46.77	23	浦东张江	前端开发	2007/12/21
夏	丹丹	35.29	40	海淀五道口	前端开发	2005/01/28
祝	海峰	42.96	46	浦东张江	存储管理	2008/09/08
严	宇进	42.78	43	浦东张江	云平台管理	2015/04/20
汤	晨	33.0	38	南京雨花台	后台开发	1998/05/21
鲁	建刚	53.44	29	深圳南山	前端开发	2008/11/06
郭	国贤	7.32	25	深圳南山	后台开发	2000/12/26
顾	鑫	34.97	50	海淀五道口	产品经理	2019/11/15
邹	新海	46.53	42	南京雨花台	UI设计	2012/05/12
何	建	29.41	32	海淀五道口	存储管理	2020/06/22
周	茹云	44.4	27	海淀五道口	存储管理	2008/11/28
袁	松涛	31.79	38	深圳南山	系统管理	2006/12/13
牛	刚	18.97	30	深圳南山	产品经理	2020/08/01
李	松涛	58.11	20	浦东张江	存储管理	2016/03/02
孙	丽	36.35	32	海淀五道口	后台开发	2010/09/25
谢	爱国	60.68	28	浦东张江	系统管理	2003/05/11
李	欣	12.1	28	浦东陆家嘴	后台开发	2005/11/23
石	明	50.75	24	浦东张江	DBA	2016/02/18
华	军	24.51	49	南京雨花台	DBA	2012/05/14
涂	昕	32.7	46	浦东张江	DBA	1999/03/10
舒	雷	40.16	23	深圳南山	云平台管理	2016/10/19
鲁	勇	51.72	22	海淀五道口	云平台管理	2018/12/03
涂	阳	21.88	30	深圳南山	系统管理	2003/07/19
杨	国贤	25.64	31	浦东陆家嘴	系统管理	2006/03/22
白	华世	44.87	22	南京雨花台	UI设计	2001/09/23
王	旭东	25.43	40	浦东张江	系统管理	2012/11/26
郭	子轩	14.79	50	南京雨花台	DBA	2012/12/27
袁	美雅	43.28	32	浦东陆家嘴	后台开发	2005/10/03
刘	炜	14.54	34	深圳南山	系统管理	2009/03/21
赵	华世	5.98	35	南京雨花台	后台开发	2013/04/23
鲁	茉莉	58.66	47	浦东张江	存储管理	2012/08/04
孙	刚	4.15	40	深圳南山	前端开发	2015/07/17
谢	朝晖	45.47	37	浦东陆家嘴	云平台管理	2007/02/16
汤	子轩	23.84	39	南京雨花台	前端开发	2012/07/18
顾	楠	28.61	45	深圳南山	存储管理	2008/05/10
刘	一涵	21.1	33	海淀五道口	后台开发	2014/07/06
李	国贤	25.73	37	海淀五道口	存储管理	2020/10/12
周	楠	24.77	33	海淀五道口	DBA	2002/06/27
钱	子轩	6.28	36	海淀五道口	云平台管理	2018/07/01
袁	旭	24.33	48	浦东陆家嘴	DBA	2022/02/05
钱	强	32.5	50	浦东陆家嘴	存储管理	2007/01/09
曹	正	57.24	32	深圳南山	前端开发	2004/06/07
薛	琴	21.3	40	浦东张江	DBA	2014/02/28
郑	捷	12.6	47	浦东陆家嘴	产品经理	2019/12/27
叶	捷	40.52	28	南京雨花台	存储管理	2004/10/27
郑	阳	21.83	49	南京雨花台	后台开发	2007/09/16
舒	旭	28.45	39	浦东陆家嘴	后台开发	2012/08/15
叶	雷	7.18	37	海淀五道口	系统管理	2002/10/26
许	炜	43.98	41	浦东张江	存储管理	2020/08/08
杨	勇	53.29	35	深圳南山	产品经理	2017/08/06
华	松涛	19.24	46	浦东陆家嘴	前端开发	2010/02/04
江	琴	52.87	22	南京雨花台	后台开发	2006/08/19
王	华世	14.34	24	浦东张江	云平台管理	2004/08/28
杜	思聪	6.47	30	浦东张江	存储管理	1998/09/12
许	明	60.19	22	南京雨花台	云平台管理	2017/12/19
马	茹云	10.96	30	浦东陆家嘴	产品经理	2009/05/25
孙	华健	8.13	47	海淀五道口	DBA	2000/07/22
石	旭东	12.48	36	浦东张江	云平台管理	2020/03/01
王	琦	47.73	31	南京雨花台	系统管理	2018/05/22
薛	彪	13.82	47	南京雨花台	前端开发	2018/02/03
竺	一涵	42.47	27	海淀五道口	系统管理	2006/03/26
姜	健林	54.84	30	浦东陆家嘴	前端开发	2011/09/22
徐	晨	9.41	45	浦东张江	产品经理	2015/10/13
曹	雷	11.92	38	深圳南山	前端开发	2012/06/13
魏	晨	41.2	22	浦东陆家嘴	前端开发	2012/04/13
李	相龙	42.91	40	南京雨花台	存储管理	2003/12/06
杜	宇进	51.15	33	浦东张江	前端开发	2003/02/19
赵	丽	52.7	45	深圳南山	系统管理	2003/02/27
吴	宁	28.31	40	南京雨花台	UI设计	2017/09/25
石	欣	15.17	49	深圳南山	云平台管理	2022/11/03
何	丽亚	32.12	49	深圳南山	UI设计	2013/05/09
谢	宁	22.46	28	浦东陆家嘴	后台开发	2021/01/16
赵	茵	50.44	35	浦东张江	云平台管理	2002/10/09
曹	华健	50.47	41	浦东陆家嘴	产品经理	2012/08/19
魏	茉莉	7.99	45	浦东陆家嘴	云平台管理	2003/06/02
齐	国贤	27.94	46	海淀五道口	DBA	2005/02/01
唐	磊	12.78	22	南京雨花台	前端开发	2005/10/24
吴	楠	17.9	48	南京雨花台	前端开发	2022/02/23
刘	昕	19.8	49	浦东陆家嘴	DBA	2008/10/16
陈	茵	6.18	44	海淀五道口	DBA	2004/06/03
岳	阳	53.85	50	海淀五道口	DBA	2020/10/10
华	华健	23.1	46	海淀五道口	后台开发	2000/03/08
袁	东	44.7	35	浦东张江	系统管理	2011/08/26
杜	丹丹	32.52	22	浦东张江	云平台管理	2001/01/05
朱	松涛	16.71	22	浦东张江	产品经理	2005/05/25
边	军	4.16	49	南京雨花台	系统管理	2012/10/11
舒	建刚	7.85	42	浦东陆家嘴	系统管理	2003/06/08
柳	吉祥	15.79	26	深圳南山	产品经理	2017/02/15
华	刚	53.25	44	浦东张江	前端开发	1998/12/16
牛	娟	40.96	45	浦东张江	系统管理	1998/05/01
夏	丽	31.19	30	浦东陆家嘴	后台开发	1998/01/08
郭	琦	36.44	41	南京雨花台	后台开发	2017/04/14
石	丽亚	58.87	33	南京雨花台	前端开发	2011/10/12
石	倩	34.53	37	浦东张江	存储管理	2008/01/20
戴	波	46.47	34	海淀五道口	UI设计	2009/06/16
赵	伟敏	52.29	40	深圳南山	系统管理	2019/03/22
白	一涵	10.33	30	南京雨花台	UI设计	1998/06/17
许	思华	13.57	45	南京雨花台	后台开发	2019/09/27
曹	彪	15.6	28	浦东张江	系统管理	2019/10/27
钱	华世	44.21	24	海淀五道口	云平台管理	2014/07/26
汤	鑫	33.14	36	南京雨花台	产品经理	1999/11/01
何	琦	49.76	49	海淀五道口	前端开发	2022/07/21
齐	琴	24.84	21	深圳南山	产品经理	2017/07/03
陆	军	35.23	28	海淀五道口	云平台管理	2000/05/04
肖	阳	45.56	27	海淀五道口	前端开发	2000/01/20
郭	华世	45.39	27	深圳南山	系统管理	2012/09/17
叶	炜	47.52	38	南京雨花台	DBA	2020/01/09
边	健	41.16	47	深圳南山	UI设计	2019/08/17
夏	海峰	51.1	41	深圳南山	DBA	2003/03/10
赵	茹云	8.4	31	浦东陆家嘴	后台开发	2003/11/08
廖	爱国	51.54	30	深圳南山	UI设计	2000/06/23
徐	新海	52.8	20	浦东陆家嘴	DBA	2010/11/13
邹	薇亚	27.5	32	南京雨花台	UI设计	2021/11/12
曾	刚	32.3	29	海淀五道口	存储管理	2021/09/05
何	思华	25.72	37	浦东张江	后台开发	2005/04/16
郑	勇	47.49	33	深圳南山	前端开发	1998/10/11
郑	正	29.1	41	浦东陆家嘴	存储管理	2009/06/28
袁	茉莉	30.78	25	浦东张江	前端开发	2003/02/21
肖	波	46.7	48	海淀五道口	前端开发	2005/10/06
曹	明	52.93	26	深圳南山	产品经理	2014/12/18
竺	新力	57.91	33	深圳南山	UI设计	2022/01/15
岳	思华	58.94	41	南京雨花台	后台开发	2014/10/07
张	健林	51.16	42	海淀五道口	UI设计	2009/11/17
夏	新海	12.0	27	南京雨花台	存储管理	2000/12/18
郑	海峰	29.25	32	海淀五道口	云平台管理	2019/06/15
吴	捷	15.75	38	浦东张江	产品经理	2010/11/20
唐	建	10.44	40	浦东张江	云平台管理	1999/12/17
何	雷	56.23	24	海淀五道口	存储管理	1999/07/03
舒	新海	30.52	37	南京雨花台	后台开发	2001/01/21
唐	楠	26.29	41	浦东张江	存储管理	2021/06/02
石	爱国	54.39	48	浦东陆家嘴	后台开发	1998/03/19
彭	海峰	54.83	24	南京雨花台	后台开发	2011/04/10
冯	琴	0.61	36	深圳南山	存储管理	2012/07/06
徐	娟	32.78	32	浦东张江	DBA	2021/01/18
张	欢	30.28	23	南京雨花台	存储管理	2014/12/04
戴	建	8.71	44	深圳南山	后台开发	2000/12/26
徐	为民	14.55	29	深圳南山	DBA	2006/08/26
柳	琦	58.22	49	深圳南山	系统管理	2019/07/27
杨	鑫	7.45	36	南京雨花台	存储管理	2022/05/10
鲁	美雅	39.52	27	浦东张江	前端开发	2019/02/21
薛	茉莉	50.88	45	海淀五道口	云平台管理	2014/02/02
涂	薇亚	20.14	43	深圳南山	云平台管理	2020/04/07
李	捷	42.49	21	浦东陆家嘴	UI设计	2015/12/09
卢	薇亚	10.18	36	海淀五道口	前端开发	2010/03/01
叶	刚	57.27	30	深圳南山	前端开发	2008/05/20
舒	捷	31.56	40	深圳南山	系统管理	2008/01/11
江	爱国	2.36	29	南京雨花台	存储管理	2015/11/14
曾	磊	42.6	46	浦东张江	UI设计	1999/09/09
李	美雅	14.0	27	南京雨花台	云平台管理	2002/01/27
汤	捷	57.88	41	南京雨花台	系统管理	2003/01/06
马	磊	25.94	33	海淀五道口	DBA	2010/02/17
张	宁	35.88	45	海淀五道口	存储管理	2012/09/22
冯	茵	0.82	42	南京雨花台	前端开发	2004/06/09
薛	新力	18.65	43	浦东陆家嘴	存储管理	2021/10/25
